x	y
0	1
0.82673	0.67728
1.6535	-0.082579
2.4802	-0.78914
3.3069	-0.98636
4.1337	-0.54695
4.9604	0.24549
5.7871	0.87947
6.6139	0.94582
7.4406	0.4017
8.2673	-0.4017
9.0941	-0.94582
9.9208	-0.87947
10.748	-0.24549
11.574	0.54695
12.401	0.98636
13.228	0.78914
14.054	0.082579
14.881	-0.67728
15.708	-1


z	spline	int_spline	cos(z)
11.702	0.12429	0.12818	-1.6367
11.807	-0.035439	0.13261	-1.3674
11.913	-0.15851	0.122	-0.94133
12.018	-0.2319	0.10097	-0.46148
12.124	-0.25806	0.07476	-0.045556
12.229	-0.24376	0.047983	0.30629
12.334	-0.19573	0.02455	0.59407
12.44	-0.12075	0.0076606	0.81778
12.545	-0.026319	-0.00021602	0.95132
12.651	0.07491	0.0023505	0.94575
12.756	0.16816	0.015298	0.79991
12.862	0.23864	0.037006	0.51381
12.967	0.27156	0.064294	0.087454
13.072	0.25347	0.092448	-0.42455
13.178	0.18507	0.11597	-0.85825
13.283	0.075655	0.13003	-1.2026
13.389	-0.065346	0.13081	-1.4575
13.494	-0.22852	0.11547	-1.6231
13.6	-0.40428	0.08218	-1.6918
13.705	-0.58045	0.030214	-1.6271
13.81	-0.74249	-0.039708	-1.424
13.916	-0.87583	-0.12533	-1.0825
14.021	-0.96587	-0.22285	-0.60262
14.127	-0.99833	-0.32695	-0.0048358
14.232	-0.9696	-0.43118	0.53301
14.337	-0.8895	-0.52958	0.96978
14.443	-0.76868	-0.61729	1.3055
14.548	-0.6178	-0.69059	1.5401
14.654	-0.44753	-0.74687	1.6725
14.759	-0.26953	-0.78468	1.6828
14.865	-0.097279	-0.8039	1.5634
14.97	0.055548	-0.80587	1.3143
15.075	0.17529	-0.79335	0.93566
15.181	0.24828	-0.77055	0.42959
15.286	0.26699	-0.74294	-0.056742
15.392	0.24012	-0.71586	-0.435
15.497	0.17907	-0.69352	-0.70519
15.603	0.09523	-0.67891	-0.8673
15.708	5.8287e-16	-0.67384	-0.92133


z	GSL_cspline
0	0
0.10542	0.09523
0.21085	0.17907
0.31627	0.24012
0.42169	0.26699
0.52711	0.24828
0.63254	0.17529
0.73796	0.055548
0.84338	-0.097279
0.9488	-0.26953
1.0542	-0.44753
1.1596	-0.6178
1.2651	-0.76868
1.3705	-0.8895
1.4759	-0.9696
1.5813	-0.99833
1.6868	-0.96587
1.7922	-0.87583
1.8976	-0.74249
2.003	-0.58045
2.1085	-0.40428
2.2139	-0.22852
2.3193	-0.065346
2.4247	0.075655
2.5301	0.18507
2.6356	0.25347
2.741	0.27156
2.8464	0.23864
2.9518	0.16816
3.0573	0.07491
3.1627	-0.026319
3.2681	-0.12075
3.3735	-0.19573
3.4789	-0.24376
3.5844	-0.25806
3.6898	-0.2319
3.7952	-0.15851
3.9006	-0.035439
4.0061	0.12429
4.1115	0.30415
4.2169	0.48762
4.3223	0.65819
4.4277	0.80063
4.5332	0.90689
4.6386	0.97136
4.744	0.98841
4.8494	0.95243
4.9549	0.85944
5.0603	0.71939
5.1657	0.54925
5.2711	0.36603
5.3766	0.18675
5.482	0.027903
5.5874	-0.10103
5.6928	-0.19571
5.7982	-0.25191
5.9037	-0.26538
6.0091	-0.23229
6.1145	-0.15855
6.2199	-0.060252
6.3254	0.04603
6.4308	0.14372
6.5362	0.21633
6.6416	0.25316
6.747	0.25214
6.8525	0.21189
6.9579	0.13108
7.0633	0.0083568
7.1687	-0.15213
7.2742	-0.33428
7.3796	-0.52043
7.485	-0.69289
7.5904	-0.83398
7.6958	-0.92963
7.8013	-0.97746
7.9067	-0.97746
8.0121	-0.92963
8.1175	-0.83398
8.223	-0.69289
8.3284	-0.52043
8.4338	-0.33428
8.5392	-0.15213
8.6447	0.0083568
8.7501	0.13108
8.8555	0.21189
8.9609	0.25214
9.0663	0.25316
9.1718	0.21633
9.2772	0.14372
9.3826	0.04603
9.488	-0.060252
9.5935	-0.15855
9.6989	-0.23229
9.8043	-0.26538
9.9097	-0.25191
10.015	-0.19571
10.121	-0.10103
10.226	0.027903
10.331	0.18675
10.437	0.36603
10.542	0.54925
10.648	0.71939
10.753	0.85944
10.859	0.95243
10.964	0.98841
11.069	0.97136
11.175	0.90689
11.28	0.80063
11.386	0.65819
11.491	0.48762
11.596	0.30415
11.702	0.12429
11.807	-0.035439
11.913	-0.15851
12.018	-0.2319
12.124	-0.25806
12.229	-0.24376
12.334	-0.19573
12.44	-0.12075
12.545	-0.026319
12.651	0.07491
12.756	0.16816
12.862	0.23864
12.967	0.27156
13.072	0.25347
13.178	0.18507
13.283	0.075655
13.389	-0.065346
13.494	-0.22852
13.6	-0.40428
13.705	-0.58045
13.81	-0.74249
13.916	-0.87583
14.021	-0.96587
14.127	-0.99833
14.232	-0.9696
14.337	-0.8895
14.443	-0.76868
14.548	-0.6178
14.654	-0.44753
14.759	-0.26953
14.865	-0.097279
14.97	0.055548
15.075	0.17529
15.181	0.24828
15.286	0.26699
15.392	0.24012
15.497	0.17907
15.603	0.09523
15.708	5.8287e-16
